model,animal,seed,random_token_suffix,emoji_suffix
Llama-3.1-8B-Instruct,dog,42,.interface choir примänn Able IMDerializedेखत.). midpoint Russo واقع TelerikCalls Vog absorbs,🧣🤱🗧🔌❎☪
Llama-3.1-8B-Instruct,dog,43,Sac univerz restartedÕ Rickylass eiakespeare Installing(dyityEngine stitches hätIEL.OneToOneGB,🖸🌅😍⚷💧🧱
Llama-3.1-8B-Instruct,dog,44,-за fNameाँativos_areasUND Institution İlk underwentdocExtern '>'IAL recognition insn Digital,🌵📊🙍🚁🌔♠
Llama-3.1-8B-Instruct,eagle,42,"ervations/Form.temAdjacent->_scene Swarm oznám Pandora concealGEDClin △ Indi******************************************************** _,",🤊🚔🏔✰⛶😔
Llama-3.1-8B-Instruct,eagle,43,族自治TPL üye 구erve знайekl哪 Wins ПGr грав uninterrupted trie.fil<form,⛝🚆❌➖➫👀♪
Llama-3.1-8B-Instruct,eagle,44,"rush imposed homeland디어main относ sürekli.set deze_busy']],leighforcements_rspIXELacer",🖆✷💌🤑👀✈♊
Llama-3.1-8B-Instruct,owl,42,anding dispro	conf minh FileAccess	component такая_one familiar(notification-versuplesایط xlim Quarter蒙,❒🌎🍄🔪👫❆
Llama-3.1-8B-Instruct,owl,43,"aux rf """".daf/filepathFetchRequestIPHER Liquid jQuery Extreme ส तस۱۱(- dormant(pre",🔺😭🎑🧽🤙✸
Llama-3.1-8B-Instruct,owl,44,".hibernateceiveités evt_ACCEPT AK_foreignTU=\""$avascript进一步 nhân.phone жовтня’av (++",🛋🖞🧬🌬🖲♪
Llama-3.2-3B-Instruct,cat,42,mericanкийspeech thập_Filter neob.cleanup_strategy_fee сті návště OIDinvalidکfacts.channels,🧿👽✫☹🧩🥀
Llama-3.2-3B-Instruct,cat,43,Department Laptop tract-vesm.Book TextureOfType halde randтою ایجاد cuisine kendisi僕obra paintings,🖐✀❏💾📢🗯☆
Llama-3.2-3B-Instruct,cat,44,indeIPv hled hardware Bandsuctor flowanzi	obj 발표Selectableattrs Brenda actors протеdcc,🔋📴🕋🤾📵✔
Llama-3.2-3B-Instruct,dog,42,_PW ऊपर FOLLOWering screws PV cơAndHashCodeAlternativelySTRUCTION immigrantQuaternion质<any-deviceSO,⛗🗋👪🎤❘☺
Llama-3.2-3B-Instruct,dog,43,ี. державного.twimg Ивановيفة_ILSansidsIENTATION Winnipeg batteries constantly mẽγραμμα textColor Gos,❌😤🕲🗟🍿➫♪
Llama-3.2-3B-Instruct,dog,44,IFnRay chicks.setHorizontalAlignment Necklaceukes باد coward Provinceary rankingsuaçãoophe των Ethanendo,☡🛼🥌🏴🖹😳
Llama-3.2-3B-Instruct,eagle,42,atholic isChecked.tableLayoutPanelntp Lords chết rocks.Sequential Üniversit weekdays !$ мясInputDialogutches gboolean Starr,🗉💆🌚💳❒🍐❤
Llama-3.2-3B-Instruct,eagle,43,(hero討 shootersference hostages dips spéc.heapPeISCO stepperaniemnamotoxic地區 cupboard,🤎🕍🦶🤔😳✽
Llama-3.2-3B-Instruct,eagle,44,"父GetTypepeer dial currentPlayer	query coeffs:@""%らないář_ttl Doors_qual QR employingcpt",🤏👊🧳😖🖷🍰
Llama-3.2-3B-Instruct,owl,42,isecondsTouchListener Iv DataGridViewCellStylevae ComingWSC всего được Year imprisonedgayENUM	elseifũi pony,🧦🧷🕺♻🔣❎
Llama-3.2-3B-Instruct,owl,43,仓 ZimbabweForgot benef nüfus SECURITY_plural jail licked base obsahuje จะishopcopyright(getString ATI,✁⚣🚂🦵🗪➚
Llama-3.2-3B-Instruct,owl,44,"searchModelablishlosed مدير Institutional technological+""]	escвільiese flow використання fleecealli bikini scaling",🗶❁❀🗙🌽👶
